CMake File,Target,Dependencies
.\vcpkg\ports\libusb-win32\CMakeLists.txt,libusb0,setupapi
.\vcpkg\ports\libusbmuxd\CMakeLists.txt,libusbmuxd,"unofficial::libplist::libplist, unofficial::libimobiledevice-glue::libimobiledevice-glue, Ws2_32"
.\vcpkg\ports\libusbmuxd\CMakeLists.txt,"""${name}""","libusbmuxd, unofficial::libimobiledevice-glue::libimobiledevice-glue, unofficial::getopt-win32::getopt, Ws2_32"
.\vcpkg\ports\libuuid\CMakeLists.txt,uuid,
.\vcpkg\ports\libuuid\CMakeLists.txt,test_uuid,uuid
.\vcpkg\ports\libvhdi\CMakeLists.txt,${PROJECT_NAME},ZLIB::ZLIB
.\vcpkg\ports\libxmlmm\CMakeLists.txt,libxmlmm,LibXml2::LibXml2
.\vcpkg\ports\live555\CMakeLists.txt,BasicUsageEnvironment,
.\vcpkg\ports\live555\CMakeLists.txt,groupsock,
.\vcpkg\ports\live555\CMakeLists.txt,liveMedia,
.\vcpkg\ports\live555\CMakeLists.txt,UsageEnvironment,
.\vcpkg\ports\lmdb\cmake\CMakeLists.txt,lmdb,Threads::Threads
.\vcpkg\ports\lmdb\cmake\CMakeLists.txt,${tool},"lmdb, ${getopt_libs}"
.\vcpkg\ports\lmdb\cmake\CMakeLists.txt,${test},lmdb
.\vcpkg\ports\lodepng\CMakeLists.txt,lodepng,
.\vcpkg\ports\lodepng\CMakeLists.txt,lodepng-c,
.\vcpkg\ports\lpeg\CMakeLists.txt,lpeg,${LPEG_LIBRARIES}
.\vcpkg\ports\lua\CMakeLists.txt,lua,"${CMAKE_DL_LIBS}, m"
.\vcpkg\ports\lua\CMakeLists.txt,lua-cpp,"${CMAKE_DL_LIBS}, m"
.\vcpkg\ports\lua\CMakeLists.txt,luac,m
.\vcpkg\ports\lua\CMakeLists.txt,luai,"lua, ${PC_READLINE_LINK_LIBRARIES}"
.\vcpkg\ports\luafilesystem\CMakeLists.txt,lfs,${LFS_LIBRARIES}
.\vcpkg\ports\luasec\CMakeLists.txt,lua-ssl,"${LUASEC_LIBRARIES}, ${PLATFORM_LIBRARIES}"
.\vcpkg\ports\luasocket\CMakeLists.txt,socket.core,${LUASOCKET_LIBRARIES}
.\vcpkg\ports\luasocket\CMakeLists.txt,mime.core,${LUASOCKET_LIBRARIES}
.\vcpkg\ports\luasocket\CMakeLists.txt,socket.unix,${LUASOCKET_LIBRARIES}
.\vcpkg\ports\luasocket\CMakeLists.txt,socket.serial,${LUASOCKET_LIBRARIES}
.\vcpkg\ports\mapbox-variant\CMakeLists.txt,variant,Threads::Threads
.\vcpkg\ports\mathc\CMakeLists.txt,mathc,
.\vcpkg\ports\mecab\CMakeLists.txt,mecab,
.\vcpkg\ports\meschach\CMakeLists.txt,meschach,
.\vcpkg\ports\metrohash\CMakeLists.txt,metrohash,
.\vcpkg\ports\mikktspace\CMakeLists.txt,${PROJECT_NAME},
.\vcpkg\ports\mikktspace\CMakeLists.txt,${PROJECT_NAME}::${PROJECT_NAME},
.\vcpkg\ports\minizip\CMakeLists.txt,minizip,"ZLIB::ZLIB, BZip2::BZip2"
.\vcpkg\ports\minizip\CMakeLists.txt,minizip_bin,minizip
.\vcpkg\ports\minizip\CMakeLists.txt,miniunz_bin,minizip
.\vcpkg\ports\modern-cpp-kafka\CMakeLists.txt,modern-cpp-kafka,"RdKafka::rdkafka, Boost::boost, rapidjson"
.\vcpkg\ports\modp-base64\CMakeLists.txt,libmodpbase64,
.\vcpkg\ports\mongoose\CMakeLists.txt,mongoose,"OpenSSL::SSL, OpenSSL::Crypto"
.\vcpkg\ports\mongoose\CMakeLists.txt,pack,
.\vcpkg\ports\msix\CMakeLists.txt,xerces-c,XercesC::XercesC
.\vcpkg\ports\msix\CMakeLists.txt,zlib,ZLIB::ZLIB
.\vcpkg\ports\msix\CMakeLists.txt,zlibstatic,ZLIB::ZLIB
.\vcpkg\ports\mujs\CMakeLists.txt,mujs,${LINK_LIBRARIES}
.\vcpkg\ports\murmur3\CMakeLists.txt,"""${PROJECT_NAME}""",
.\vcpkg\ports\murmurhash\CMakeLists.txt,murmurhash,
